condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t2__gpt_5_4_mini__m5v2db,2,5,9,6,6,5,0,1,73,1.6131,0.3963,0.9211,3,3,gpt-5.4-mini,1089,2328
s1__t2__gpt_5_4_mini__m5v2db,2,6,8.5,6,5,6,0,1,98,1.8212,0.5091,0.9138,3,3,gpt-5.4-mini,1161,2185
s1__t2__gpt_5_4_mini__m5v2db,2,7,7.5,5,5,6,0,1,95,1.4194,0.2511,0.9526,3,3,gpt-5.4-mini,1317,2444
s1__t2__gpt_5_4_mini__m5v2db,2,8,7.5,5,5,6,0,1,97,1.3796,0.3133,0.969,3,3,gpt-5.4-mini,1160,2492
s1__t2__gpt_5_4_mini__m5v2db,2,9,12,8,8,6,0,1,118,1.2609,0.0176,0.9778,3,3,gpt-5.4-mini,1146,2087
s1__t2__gpt_5_4_mini__m5v2db,2,10,10,8,4,7,0,1,162,1.5607,0.0238,0.9694,3,3,gpt-5.4-mini,1592,1941
s1__t2__gpt_5_4_mini__m5v2db,2,11,11,8,6,8,0,1,267,1.2407,0.0155,0.9797,3,3,gpt-5.4-mini,2150,2018
s1__t2__gpt_5_4_mini__m5v2db,2,12,10,8,4,8,0,1,375,1.1471,0.0152,0.9812,3,3,gpt-5.4-mini,2246,2541
s1__t2__gpt_5_4_mini__m5v2db,2,13,11,8,6,8,0,1,376,1.1911,0.0148,0.98,3,3,gpt-5.4-mini,1960,2570
s1__t2__gpt_5_4_mini__m5v2db,2,14,8.5,8,1,8,0,1,376,1.0897,0.0151,0.9797,3,3,gpt-5.4-mini,2126,2269
s1__t2__gpt_5_4_mini__m5v2db,2,15,9.5,8,3,8,0,1,376,1.0688,0.0152,0.9794,3,3,gpt-5.4-mini,2289,2314
s1__t2__gpt_5_4_mini__m5v2di,0,1,5.5,4,3,2,0,0,24,2.4218,0.2892,0.7539,3,3,gpt-5.4-mini,1050,2098
s1__t2__gpt_5_4_mini__m5v2di,0,2,5.5,4,3,5,0,1,101,2.4685,0.4849,0.9089,3,3,gpt-5.4-mini,1175,2413
s1__t2__gpt_5_4_mini__m5v2di,0,3,12,8,8,7,0,1,157,1.6974,0.0559,0.9831,3,3,gpt-5.4-mini,1504,2007
s1__t2__gpt_5_4_mini__m5v2di,0,4,7.5,7,1,7,0,1,157,1.7249,0.0612,0.987,3,3,gpt-5.4-mini,1516,2224
s1__t2__gpt_5_4_mini__m5v2di,0,5,11.5,8,7,9,0,1,192,1.4767,0.0582,0.9528,3,3,gpt-5.4-mini,1683,2127
s1__t2__gpt_5_4_mini__m5v2di,0,6,8.5,7,3,9,0,1,213,1.4767,0.059,0.9538,3,3,gpt-5.4-mini,1975,2158
s1__t2__gpt_5_4_mini__m5v2di,0,7,10.5,8,5,9,0,1,213,1.579,0.059,0.9748,3,3,gpt-5.4-mini,2127,2133
s1__t2__gpt_5_4_mini__m5v2di,0,8,11,8,6,9,0,1,251,1.4742,0.0518,0.9589,3,3,gpt-5.4-mini,2041,2289
s1__t2__gpt_5_4_mini__m5v2di,0,9,7.5,7,1,9,0,1,251,1.52,0.0544,0.9536,3,3,gpt-5.4-mini,1975,2295
s1__t2__gpt_5_4_mini__m5v2di,0,10,11,8,6,9,0,1,250,1.5109,0.0445,0.9807,3,3,gpt-5.4-mini,1998,1899
s1__t2__gpt_5_4_mini__m5v2di,0,11,12.5,9,7,9,0,1,260,1.7465,0.0554,0.985,3,3,gpt-5.4-mini,2293,1952
s1__t2__gpt_5_4_mini__m5v2di,0,12,11,8,6,9,0,1,260,1.4979,0.0429,0.9686,3,3,gpt-5.4-mini,2097,2142
s1__t2__gpt_5_4_mini__m5v2di,0,13,8,8,0,9,0,1,260,1.4979,0.0429,0.9686,3,3,gpt-5.4-mini,2132,1718
s1__t2__gpt_5_4_mini__m5v2di,0,14,7,7,0,9,0,1,260,1.4979,0.0429,0.9686,3,3,gpt-5.4-mini,1939,1902
s1__t2__gpt_5_4_mini__m5v2di,0,15,10,8,4,9,0,2,372,1.5465,0.0477,0.9671,3,3,gpt-5.4-mini,2744,1721
s1__t2__gpt_5_4_mini__m5v2di,1,1,8.5,5,7,3,0,0,34,2.5358,0.5059,0.8176,3,3,gpt-5.4-mini,1216,2109
s1__t2__gpt_5_4_mini__m5v2di,1,2,6.5,4,5,3,0,0,33,2.1029,0.5797,0.89,3,3,gpt-5.4-mini,1413,2226
